Timestamp,"By checking this checkbox, I confirm that: 
I have read and understood the information provided to me for this study 
I understand that my participation is voluntary and that I am free to withdraw at any time, without giving a reason, without my medical care or legal rights being affected 
I understand that the research data will be archived in a completely anonymous way in an online database and/or data repository and/or published as supplementary material to a scientific article and may be accessed by other researchers as well as the general public 
I understand that the anonymized research data can be used in future projects on similar or different topics to this study and potential results can be published in other scientific publications. At all times, my personal data will be kept anonymized in accordance with data protection guidelines ",I understand the task mentioned above,I understand the task mentioned above,I would recommend this system to a friend,The system's voice responses were unclear and hard to follow,I would not use this system again,The system's voice was clear and understandable,I did not like the recommendation system,I like the way the information is presented,"In case of using again the system, I would like it to have a different voice.",I am overall satisfied with the system ,"If you had to choose, what gender would you assign to the voice?",What is your gender?,What is your group (ask researcher),Do you have any comments about the questionnaire?
10/18/2023 15:06:14,"Yes, I confirm the above",Yes,Yes,5,1,2,4,1,3,2,3,Male,Female,C,
10/19/2023 13:48:06,"Yes, I confirm the above",Yes,Yes,2,2,3,4,4,2,3,2,Male,Male,A,I just want some juicy meat D:
10/19/2023 15:25:11,"Yes, I confirm the above",Yes,Yes,2,2,4,4,4,2,1,2,Female,Female,D,I think you guys should add non-binary as a specific option for gender.
10/19/2023 15:53:18,"Yes, I confirm the above",Yes,Yes,2,2,4,4,3,4,4,2,Female,Male,B,
10/22/2023 15:34:47,"Yes, I confirm the above",Yes,Yes,4,1,2,5,2,4,2,4,Female,Male,B,
10/22/2023 19:47:13,"Yes, I confirm the above",Yes,Yes,4,3,4,3,3,3,5,4,Female,Female,D,ik ben net naar taylor swift geweest
10/22/2023 20:01:09,"Yes, I confirm the above",Yes,Yes,1,4,5,2,5,1,5,1,Female,Male,B,
10/23/2023 14:46:48,"Yes, I confirm the above",Yes,Yes,4,3,2,5,3,4,2,4,Female,Male,B,
10/23/2023 16:58:09,"Yes, I confirm the above",Yes,Yes,4,2,3,3,2,4,4,3,Female,Female,D,
10/23/2023 19:03:40,"Yes, I confirm the above",Yes,Yes,3,3,3,3,2,4,4,3,Male,Male,A,"A bit more responsive if possible, but overal great recommendations"
10/23/2023 19:21:13,"Yes, I confirm the above",Yes,Yes,2,1,4,5,4,4,3,3,Male,Female,C,If Douwe wouldn't have been breathing down my neck it would've been fine
10/23/2023 19:30:34,"Yes, I confirm the above",Yes,Yes,3,1,3,5,4,4,4,3,Male,Female,C,
10/24/2023 12:40:30,"Yes, I confirm the above",Yes,Yes,2,1,4,4,3,4,4,3,Male,Male,A,
10/24/2023 15:31:44,"Yes, I confirm the above",Yes,Yes,2,2,4,4,4,2,3,3,Male,Male,A,
10/24/2023 15:41:14,"Yes, I confirm the above",Yes,Yes,2,2,3,4,3,4,4,2,Male,Male,A,
10/24/2023 15:53:49,"Yes, I confirm the above",Yes,Yes,2,1,2,5,2,4,3,2,Not sure,Male,A,
10/24/2023 16:03:37,"Yes, I confirm the above",Yes,Yes,5,1,1,4,1,5,3,4,Not sure,Male,A,
10/24/2023 16:16:33,"Yes, I confirm the above",Yes,Yes,4,2,3,5,1,2,2,4,Female,Female,C,
10/24/2023 16:28:07,"Yes, I confirm the above",Yes,Yes,2,1,2,4,3,4,2,3,Not sure,Male,B,
10/24/2023 19:33:51,"Yes, I confirm the above",Yes,Yes,4,2,1,5,2,4,1,4,Not sure,Male,A,
10/24/2023 19:41:33,"Yes, I confirm the above",Yes,Yes,5,1,1,5,1,5,2,5,Not sure,Male,A,
10/24/2023 20:07:34,"Yes, I confirm the above",Yes,Yes,4,2,3,3,2,3,4,3,Male,Female,C,
10/24/2023 20:16:14,"Yes, I confirm the above",Yes,Yes,5,4,1,4,1,5,5,5,Female,Male,B,
10/24/2023 20:23:48,"Yes, I confirm the above",Yes,Yes,4,1,1,5,1,4,2,5,Female,Female,D,
10/24/2023 20:34:25,"Yes, I confirm the above",Yes,Yes,4,1,2,5,2,4,2,4,Female,Female,D,
10/26/2023 11:42:46,"Yes, I confirm the above",Yes,Yes,5,1,4,4,2,4,1,4,Male,Female,C,
10/26/2023 11:45:16,"Yes, I confirm the above",Yes,Yes,2,1,5,3,4,4,2,2,Female,Male,B,
10/26/2023 12:02:40,"Yes, I confirm the above",Yes,Yes,4,3,2,4,3,4,2,3,Female,Female,D,
10/26/2023 12:03:58,"Yes, I confirm the above",Yes,Yes,3,4,2,2,3,4,1,3,Female,Female,D,
10/29/2023 9:53:12,"Yes, I confirm the above",Yes,Yes,3,4,4,3,4,5,5,4,Female,Female,D,
10/29/2023 17:06:10,"Yes, I confirm the above",Yes,Yes,2,1,4,5,3,4,3,3,Male,Female,C,
10/29/2023 19:48:41,"Yes, I confirm the above",Yes,Yes,4,2,2,4,2,3,3,3,Male,Female,C,